"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 16 21:53:15 MSK 2022","Sun Oct 16 21:53:16 MSK 2022","680","Lecture 9","Lecture 9 test set 1.4","Lecture9.Lecture9_3Test","Lecture9.Lecture9_3Test","login","login",""
"passed","Tue Oct 11 21:52:29 MSK 2022","Tue Oct 11 21:52:30 MSK 2022","1934","Default Suite","Automation_Alina_Osaulko","Task_6","Task_6","test","test",""
"passed","Tue Oct 11 21:48:42 MSK 2022","Tue Oct 11 21:48:43 MSK 2022","673","Default Suite","Automation_Alina_Osaulko","HomeWork9.Task9_3Test","HomeWork9.Task9_3Test","dataProviderTask","dataProviderTask",""
"skipped","Sun Oct 16 21:53:00 MSK 2022","Sun Oct 16 21:53:00 MSK 2022","2","Lecture 9","Lecture 9 test set 1.3","Lecture9.Lecture9_2Test","Lecture9.Lecture9_2Test","test4","test4",""
"skipped","Tue Oct 11 21:52:05 MSK 2022","Tue Oct 11 21:52:05 MSK 2022","2","Default Suite","Automation_Alina_Osaulko","HomeWork9.Task9_1Test","HomeWork9.Task9_1Test","login","login",""
"passed","Tue Oct 11 21:48:38 MSK 2022","Tue Oct 11 21:48:39 MSK 2022","915","Default Suite","Automation_Alina_Osaulko","HomeWork9.Task9_3Test","HomeWork9.Task9_3Test","dataProviderTask","dataProviderTask",""
"passed","Sun Oct 16 20:43:45 MSK 2022","Sun Oct 16 20:43:48 MSK 2022","2555","Default Suite","Automation_Alina_Osaulko","Lecture_8.Lecture8_2","Lecture_8.Lecture8_2","frame_Test","frame_Test",""
"skipped","Tue Oct 11 21:52:05 MSK 2022","Tue Oct 11 21:52:05 MSK 2022","1","Default Suite","Automation_Alina_Osaulko","HomeWork9.Task9_1Test","HomeWork9.Task9_1Test","login","login",""
"passed","Sun Oct 16 20:58:40 MSK 2022","Sun Oct 16 20:58:47 MSK 2022","7725","Lecture 10","Lecture 10","Lecture10.Lecture10Test","Lecture10.Lecture10Test","test","test",""
"skipped","Tue Oct 11 21:52:05 MSK 2022","Tue Oct 11 21:52:05 MSK 2022","3","Default Suite","Automation_Alina_Osaulko","HomeWork9.Task9_1Test","HomeWork9.Task9_1Test","login","login",""
"passed","Tue Oct 11 21:48:41 MSK 2022","Tue Oct 11 21:48:42 MSK 2022","711","Default Suite","Automation_Alina_Osaulko","HomeWork9.Task9_3Test","HomeWork9.Task9_3Test","dataProviderTask","dataProviderTask",""
"passed","Tue Oct 11 21:52:57 MSK 2022","Tue Oct 11 21:52:57 MSK 2022","2","Default Suite","Automation_Alina_Osaulko","Lecture4.Lecture4_1","Lecture4.Lecture4_1","test3","test3",""
